#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
BRCA2	675	17173	6818	17131	2576	600185	496	2169
BRCA1	672	12732	5225	12716	2297	113705	299	1274
LDLR	3949	2992	1983	2986	1488	606945	138	159
MLH1	4292	2466	1611	2451	693	120436	17	598
MSH2	4436	2701	1759	2679	674	609309	25	751
COL4A5	1287	835	787	702	632	303630	0	10
FBN1	2200	2688	1128	2676	616	134797	40	293
DMD	1756	2167	1470	1988	578	300377	65	493
ATM	472	4082	2606	4069	574	607585	78	1261
SCN1A	6323	1318	948	1292	507	182389	28	165
TTN	7273	16041	6210	16023	498	188840	611	3502
COL3A1	1281	869	703	855	465	120180	19	92
MECP2	4204	1586	1085	1405	450	300005	46	203
TTN-AS1	100506866	9224	3495	7	434	#	1	0
CFTR	1080	2266	1363	2250	400	602421	26	100
MYBPC3	4607	2094	1058	2087	398	600958	118	354
NF1	4763	2102	1414	2070	365	613113	26	591
APC	324	3579	2559	2629	350	611731	72	722
MSH6	2956	2866	1674	2857	341	600678	39	845
OTC	5009	533	472	417	326	300461	4	13
PALB2	79728	2083	1114	2069	298	610355	46	481
KCNH2	3757	1141	856	1100	285	152427	28	135
TP53	7157	4141	770	2097	285	191170	68	204
F8	2157	479	462	312	278	300841	0	10
MYH7	4625	2520	1197	2464	268	160760	149	508
KCNQ2	3785	657	485	625	256	602235	20	67
NIPBL	25836	598	482	582	252	608667	8	117
GALT	2592	553	393	507	246	606999	18	49
CDKL5	6792	783	605	493	242	300203	9	46
KCNQ1	3784	1605	700	1586	241	607542	22	109
LOC102724058	102724058	660	478	#	233	#	#	#
NSD1	64324	775	516	737	232	606681	19	113
ABCA4	24	1548	793	1544	224	601691	42	104
VPS13B	157680	695	532	652	222	607817	23	199
C11orf65	160140	1539	976	1	218	#	#	#
PAH	5053	977	645	970	209	612349	6	24
PTEN	5728	998	714	949	199	601728	16	303
SCN5A	6331	2306	1036	2296	198	600163	83	260
TSC2	7249	3384	2358	3339	189	191092	84	266
GLA	2717	557	403	430	187	300644	13	49
LMNA	4000	1352	599	1348	184	150330	36	158
HBB	3043	779	592	768	183	141900	1	16
AGXT	189	414	323	351	180	604285	21	52
BTD	686	345	230	333	177	609019	13	27
PMS2	5395	1708	958	1679	173	600259	36	439
RPL36A-HNRNPH2	100529097	539	385	#	169	#	#	#
USH2A	7399	1135	756	1109	158	608400	43	246
CHD7	55636	764	456	743	155	608892	20	174
KMT2D	8085	890	626	826	155	602113	38	235
GNPTAB	79158	379	246	374	152	607840	3	51
MTM1	4534	355	318	209	152	300415	1	12
DYSF	8291	1216	591	1209	148	603009	40	311
UBE3A	7337	543	467	309	148	601623	15	57
VHL	7428	579	427	548	147	608537	10	146
ASPM	259266	753	488	745	146	605481	50	204
NPHS1	4868	280	243	275	145	602716	3	56
PKHD1	5314	770	543	757	145	606702	23	256
DMPK	1760	156	156	151	141	605377	0	3
MYO7A	4647	992	501	982	139	276903	24	181
SLC26A4	5172	433	276	424	139	605646	10	82
SMAD4	4089	908	465	843	136	600993	10	142
RYR1	6261	2912	1109	2901	133	180901	69	307
ATP7B	540	525	339	487	132	606882	22	74
OFD1	8481	349	309	210	131	300170	3	17
BRAF	673	693	289	574	130	164757	10	50
GCK	2645	338	206	325	130	138079	4	28
COL1A1	1277	551	294	542	128	120150	11	89
RB1	5925	322	254	263	127	614041	3	42
MEN1	4221	363	258	360	126	613733	7	70
GAA	2548	624	414	612	124	606800	28	159
PTPN11	5781	753	292	737	124	176876	14	85
SPG11	80208	305	232	296	120	610844	7	75
CREBBP	1387	401	291	312	117	600140	8	63
DCX	1641	268	247	142	117	300121	0	3
COL2A1	1280	442	262	437	116	120140	10	63
CHEK2	11200	1194	692	1172	115	604373	39	351
DSP	1832	1511	668	1490	114	125647	55	300
PHEX	5251	288	275	164	114	300550	1	22
GFAP	2670	306	195	298	113	137780	0	10
SACS	26278	438	345	379	112	604490	13	123
COL7A1	1294	271	237	268	110	120120	3	103
RYR2	6262	1747	1012	1703	110	180902	71	452
DICER1	23405	427	357	410	109	606241	5	97
F9	2158	283	269	148	109	300746	0	8
FH	2271	441	254	388	109	136850	13	65
PAFAH1B1	5048	302	260	257	109	601545	3	57
ABCC8	6833	514	230	510	108	600509	13	49
SCN2A	6326	579	369	557	108	182390	25	114
ZEB2	9839	437	339	420	108	605802	17	84
GJB2	2706	651	221	621	107	121011	13	30
SPAST	6683	221	202	161	107	604277	3	45
ATP7A	538	317	292	198	106	300011	2	47
BRIP1	83990	1590	909	1572	106	605882	33	468
HEXA	3073	230	158	219	106	606869	3	26
PKP2	5318	617	374	599	105	602861	30	141
CAPN3	825	577	314	573	103	114240	19	149
HERC2	8924	253	243	18	101	605837	0	9
NPC1	4864	374	274	342	101	607623	13	80
JAG1	182	404	257	384	97	601920	7	72
OTOF	9381	518	383	508	96	603681	28	123
TYMP	1890	314	242	236	96	131222	7	29
FLCN	201163	532	321	446	95	607273	9	66
FLNA	2316	774	569	609	94	300017	24	130
MUT	4594	242	188	236	92	609058	5	37
GLDC	2731	286	263	175	91	238300	2	38
RAD50	10111	895	668	875	90	604040	16	384
NBN	4683	950	614	922	89	602667	27	273
STK11	6794	948	611	910	89	602216	25	221
CASR	846	384	199	373	88	601199	3	51
CEP290	80184	810	318	801	87	610142	17	111
FGFR2	2263	803	191	735	87	176943	0	31
STXBP1	6812	287	227	253	86	602926	9	36
COL1A2	1278	315	206	308	85	120160	4	58
MUTYH	4595	892	494	887	85	604933	22	260
BLM	641	367	252	326	83	604610	16	74
PPT1	5538	215	170	210	83	600722	1	45
ARSA	410	396	307	325	82	607574	9	72
BTK	695	250	220	120	82	300300	0	8
EDA	1896	231	205	124	82	300451	2	17
SDHB	6390	280	169	266	82	185470	8	51
CDH1	999	1388	850	1370	80	192090	45	384
RET	5979	1286	505	1268	80	164761	34	229
TSC1	7248	1573	966	1534	80	605284	34	163
ACADM	34	302	199	295	79	607008	14	66
AR	367	199	189	91	79	313700	0	1
TMEM67	91147	320	181	299	79	609884	9	38
AGL	178	285	211	278	78	610860	4	55
CLN3	1201	257	218	224	78	607042	8	55
MPZ	4359	254	121	248	78	159440	2	18
SMPD1	6609	236	167	229	78	607608	8	52
ACADVL	37	303	197	286	77	609575	13	58
PEX1	5189	263	172	259	77	602136	6	62
PIK3CA	5290	807	141	375	77	171834	0	5
GBA	2629	224	113	217	76	606463	2	16
LAMA2	3908	581	362	571	75	156225	32	136
POLG	5428	679	441	649	74	174763	47	145
POMGNT1	55624	261	181	256	74	606822	9	70
KIT	3815	340	201	257	73	164920	7	53
GJB1	2705	223	183	122	72	304040	4	6
SLC2A1	6513	413	240	406	72	138140	16	69
ARID1B	57492	187	177	156	70	614556	2	37
FOXL2	668	128	110	105	70	605597	0	13
PTCH1	5727	752	496	706	70	601309	25	165
SLC22A5	6584	302	210	293	69	603377	4	38
CACNA1A	773	479	361	456	68	601011	14	93
CC2D2A	57545	455	253	428	68	612013	21	97
FOXG1	2290	228	170	213	68	164874	12	26
IDS	3423	254	227	98	68	300823	1	5
PCDH15	65217	577	360	557	68	605514	30	142
NRXN1	9378	574	471	477	67	600565	32	227
OPA1	4976	301	214	276	67	605290	8	53
SCN8A	6334	395	308	386	66	600702	12	104
BARD1	580	1001	664	988	65	601593	23	350
MT-CYB	4519	90	85	18	65	516020	1	1
PCDH19	57526	353	296	224	65	300460	7	43
C5orf42	65250	429	269	382	64	614571	23	92
HPRT1	3251	237	197	105	64	308000	1	4
ATP1A3	478	213	128	208	63	182350	1	33
CBS	875	388	269	324	63	613381	18	59
COL6A2	1292	969	551	890	63	120240	46	233
OAT	4942	135	124	105	63	613349	1	23
TSPAN1	10103	215	150	#	63	613170	#	#
PAX6	5080	697	173	667	62	607108	2	44
PLA2G6	8398	161	136	144	62	603604	1	48
CDKN2A	1029	456	276	324	61	600160	17	76
DHCR7	1717	233	155	230	61	602858	9	60
ELN	2006	365	249	260	61	130160	4	33
ABCD1	215	312	284	148	60	300371	1	36
BCKDHB	594	213	160	206	60	248611	3	48
CDH23	64072	1361	647	1337	60	605516	84	275
CTNNB1	1499	355	76	175	60	116806	2	1
GALC	2581	210	162	194	60	606890	4	40
ZNF595	152687	123	123	#	60	#	#	#
ANKRD11	29123	133	130	63	59	611192	0	9
ARX	170302	298	261	172	59	300382	6	42
DNAH5	1767	687	505	619	58	603335	29	185
FANCC	2176	487	369	447	58	613899	12	138
GCDH	2639	158	121	140	58	608801	4	25
MYO15A	51168	577	451	495	58	602666	37	172
CYP27A1	1593	156	123	108	57	606530	4	41
GLB1	2720	272	123	263	57	611458	3	33
LAMB3	3914	198	174	189	57	150310	1	74
MTHFR	4524	238	216	205	57	607093	1	93
RAD51C	5889	570	329	560	57	602774	9	151
TCF4	6925	321	271	268	57	602272	4	64
TNNT2	7139	455	231	446	57	191045	27	85
WFS1	7466	786	414	739	57	606201	25	131
KRAS	3845	468	213	427	56	190070	11	57
TGFBR2	7048	510	237	498	56	190182	8	90
TGM1	7051	119	107	103	56	190195	2	30
SLC26A3	1811	101	98	92	55	126650	0	23
AIP	9049	122	102	115	54	605555	6	9
DEPDC5	9681	132	108	117	54	614191	2	26
F11	2160	224	210	145	54	264900	1	22
NBPF12	149013	152	140	#	54	608607	#	#
TRPV4	59341	662	193	657	54	605427	6	43
CSF1R	1436	165	151	143	53	164770	0	24
EGFR	1956	350	274	261	53	131550	5	77
FGFR1	2260	528	194	469	53	136350	1	37
NEB	4703	1185	702	1175	53	161650	79	239
PRKAR1A	5573	197	125	180	53	188830	1	21
PYGM	5837	223	153	222	53	608455	12	48
SLC26A2	1836	673	169	667	53	606718	2	79
TNNI3	7137	475	208	460	53	191044	23	70
ALPL	249	184	126	175	52	171760	1	29
BMPR2	659	206	189	187	52	600799	1	57
COL5A1	1289	855	611	819	52	120215	28	209
DES	1674	517	240	505	52	125660	18	88
FGFR3	2261	347	231	229	52	134934	1	24
GLI3	2737	620	269	602	52	165240	6	82
LAMP2	3920	429	314	302	52	309060	6	73
RHO	6010	166	108	162	52	180380	0	21
ATRX	546	294	249	168	51	300032	4	60
ATRX	546	294	249	168	51	300504	4	60
BCRP2	400892	186	167	#	51	113630	#	#
CHAMP1	283489	88	83	17	51	616327	#	#
COL6A1	1291	804	494	728	51	120220	38	179
HNF1A	6927	217	152	185	51	142410	5	24
PMM2	5373	238	171	211	51	601785	6	63
PTCHD1-AS	100873065	161	152	#	51	#	#	#
SCN4A	6329	933	241	923	51	603967	11	49
SLC7A7	9056	124	114	108	51	603593	5	25
TTR	7276	188	125	162	51	176300	7	25
AHI1	54806	244	175	235	50	608894	7	51
CASK	8573	233	209	102	50	300172	4	21
DPYD	1806	217	164	155	50	612779	0	38
HMBS	3145	117	98	103	50	609806	4	13
KCNJ11	3767	309	129	306	50	600937	4	45
ADGRV1	84059	837	530	816	49	602851	48	193
ASS1	445	197	141	169	49	603470	8	33
CPT1A	1374	126	96	120	49	600528	3	7
CYBB	1536	241	214	122	49	300481	0	3
ENG	2022	249	142	221	49	131195	5	42
FANCA	2175	377	297	301	49	607139	11	81
GTF2I	2969	106	94	#	49	601679	#	#
TYR	7299	230	142	222	49	606933	2	13
AIRE	326	191	149	125	48	607358	1	13
CHD2	1106	217	191	182	48	602119	3	11
CLCN1	1180	189	145	159	48	118425	3	17
CTNS	1497	364	213	323	48	606272	4	78
GNAS	2778	166	102	124	48	139320	0	11
IDUA	3425	303	228	185	48	252800	1	28
PSEN1	5663	366	247	248	48	104311	1	58
TP63	8626	310	160	282	48	603273	0	34
DYRK1A	1859	167	150	103	47	600855	0	7
GNE	10020	405	215	359	47	603824	9	78
SMC1A	8243	265	237	144	47	300040	2	38
SPG7	6687	248	189	206	47	602783	15	48
BBS10	79738	139	110	132	46	610148	4	41
CLN5	1203	220	163	177	46	608102	7	36
CP	1356	205	161	130	46	117700	2	53
CPT2	1376	183	100	178	46	600650	4	29
EYS	346007	272	208	254	46	612424	7	94
GRIN2B	2904	315	261	281	46	138252	17	91
IL9R	3581	122	116	#	46	300007	#	#
MFN2	9927	364	211	331	46	608507	8	66
TPP1	1200	277	193	270	46	607998	9	69
ABCC6	368	273	248	91	45	603234	1	6
ACVRL1	94	137	115	132	45	601284	1	34
DKC1	1736	247	201	92	45	300126	1	2
LYST	1130	293	251	267	45	606897	8	134
ANO5	203859	529	302	514	44	608662	10	175
CYP21A2	1589	122	93	110	44	613815	2	4
EHMT1	79813	331	264	254	44	607001	9	90
MCOLN1	57192	112	87	108	44	605248	1	28
PLP1	5354	191	179	55	44	300401	0	6
RPGR	6103	344	287	227	44	312610	0	10
SDHD	6392	159	99	155	44	602690	2	30
SOS1	6654	551	313	535	44	182530	18	141
DYNC1H1	1778	649	353	622	43	600112	32	115
PKD1	5310	258	255	233	43	601313	0	12
RAF1	5894	382	230	347	43	164760	15	82
ACADS	35	136	91	126	42	606885	6	20
BMPR1A	657	425	306	397	42	601299	7	134
EBP	10682	180	167	57	42	300205	1	2
MAP2K1	5604	260	141	198	42	176872	5	40
NKX2-5	1482	128	92	117	42	600584	7	17
PRKN	5071	170	158	91	42	602544	3	39
SYNE1	23345	1991	1109	1975	42	608441	101	634
THRB	7068	180	170	168	42	190160	0	51
GALNS	2588	241	181	197	41	612222	6	50
GRHPR	9380	138	113	94	41	604296	4	22
HGD	3081	111	90	97	41	607474	0	29
KIF1A	547	591	299	515	41	601255	18	101
PCCA	5095	169	139	120	41	232000	3	20
PDHA1	5160	210	193	83	41	300502	3	11
RPS6KA3	6197	183	173	54	41	300075	0	7
RRM2B	50484	231	147	204	41	604712	3	25
SERPINC1	462	111	98	94	41	107300	7	11
ACR	49	81	77	#	40	102480	#	#
ACTA1	58	159	102	140	40	102610	0	20
ALDH3A2	224	169	156	96	40	609523	1	34
BBS1	582	133	104	128	40	209901	1	46
BCKDHA	593	209	121	205	40	608348	9	35
FLT3	2322	88	80	17	40	136351	#	#
L1CAM	3897	316	267	143	40	308840	4	29
LPL	4023	160	153	111	40	609708	1	36
LRP5	4041	145	125	138	40	603506	2	39
MKS1	54903	202	130	192	40	609883	11	51
PMP22	5376	171	116	122	40	601097	1	12
RECQL4	9401	349	265	289	40	603780	3	70
VWF	7450	669	554	641	40	613160	3	74
AGA	175	141	123	92	39	613228	1	29
ALMS1	7840	432	311	420	39	606844	13	118
FBXL3	26224	155	123	#	39	605653	#	#
FLNB	2317	295	233	290	39	603381	2	113
HADHA	3030	181	108	170	39	600890	5	27
HRAS	3265	405	120	307	39	190020	4	19
HSD17B4	3295	181	108	166	39	601860	4	29
LRRC56	115399	405	120	#	39	#	#	#
PCCB	5096	130	104	116	39	232050	3	33
PGBD2	267002	55	53	#	39	#	#	#
SCN9A	6335	1381	300	1362	39	603415	21	92
TUBA1A	7846	115	84	111	39	602529	3	19
AVPR2	554	242	227	69	38	300538	0	5
CORO1A	11151	96	94	7	38	605000	#	#
DYNC2H1	79659	524	289	509	38	603297	11	167
ERCC6	2074	552	220	522	38	609413	12	66
KANSL1	284058	502	402	415	38	612452	6	48
KMT2A	4297	79	73	57	38	159555	1	6
MBD5	55777	294	252	250	38	611472	17	114
OCRL	4952	238	211	103	38	300535	3	12
RAG1	5896	210	132	196	38	179615	0	44
SLC17A5	26503	135	78	132	38	604322	2	27
SYNGAP1	8831	69	61	65	38	603384	1	10
ADA	100	101	73	99	37	608958	2	13
BCHE	590	90	82	71	37	177400	1	21
CLCN5	1184	240	226	118	37	300008	0	38
COX10	1352	186	114	143	37	602125	3	27
FAH	2184	155	113	146	37	613871	2	27
GRIN2A	2903	476	405	420	37	138253	7	138
SH3TC2	79628	961	481	954	37	608206	16	337
SURF1	6834	113	96	82	37	185620	2	5
TERT	7015	375	227	278	37	187270	6	31
TK2	7084	138	118	120	37	188250	1	41
WAS	7454	192	173	63	37	300392	2	3
ASPA	443	89	73	62	36	608034	1	8
CHRNA7	1139	188	176	1	36	118511	0	1
G6PD	2539	359	253	201	36	305900	2	32
KCNJ2	3759	404	194	392	36	600681	5	59
NR0B1	190	162	155	40	36	300473	0	1
SGCA	6442	193	136	185	36	600119	9	68
TBX5	6910	133	116	126	36	601620	3	29
TUBB4A	10382	115	68	109	36	602662	1	2
BEST1	7439	370	192	368	35	607854	2	25
CHM	1121	167	159	46	35	300390	0	4
COMP	1311	139	85	134	35	600310	0	23
EYA1	2138	253	152	228	35	601653	4	47
FKRP	79147	222	144	215	35	606596	8	65
IGHMBP2	3508	291	205	286	35	600502	18	88
INSR	3643	562	217	556	35	147670	8	71
MRE11	4361	669	513	647	35	600814	18	280
RS1	6247	360	306	176	35	300839	0	8
SOD1	6647	108	96	57	35	147450	1	7
TAZ	6901	281	228	125	35	300394	2	18
TERC	7012	74	60	41	35	602322	2	3
TPM1	7168	349	218	341	35	191010	20	99
AUTS2	26053	65	65	23	34	607270	0	9
COL6A3	1293	1191	717	1143	34	120250	76	359
COQ8A	56997	245	150	223	34	606980	9	45
CYLD	1540	313	142	292	34	605018	0	45
EXT1	2131	126	115	89	34	608177	0	22
FKTN	2218	350	202	318	34	607440	9	97
IGH	3492	125	121	#	34	146910	#	#
IGH	3492	125	121	#	34	147010	#	#
IGH	3492	125	121	#	34	147070	#	#
IKBKG	8517	219	202	52	34	300248	0	5
NPHP3-ACAD11	100532724	374	170	#	34	#	#	#
POLR2F	5435	109	77	#	34	604414	#	#
PRODH	5625	289	252	23	34	606810	0	2
SLC52A3	113278	98	90	58	34	613350	#	#
SPATA22	84690	161	144	#	34	#	#	#
ALDH7A1	501	252	214	241	33	107323	8	99
CDC73	79577	293	125	279	33	607393	1	48
CLN8	2055	192	169	118	33	607837	4	31
CNGB3	54714	226	132	206	33	605080	5	45
COL4A1	1282	543	242	473	33	120130	1	49
CUBN	8029	286	280	275	33	602997	0	179
ERBB2	2064	161	82	47	33	164870	1	2
ETFDH	2110	104	87	81	33	231675	3	14
FBN2	2201	955	594	943	33	612570	35	292
G6PC	2538	146	105	140	33	613742	2	44
GDAP1	54332	190	117	169	33	606598	1	46
GHR	2690	122	108	110	33	600946	2	37
INS	3630	143	81	126	33	176730	2	9
LOC101929680	101929680	1215	261	#	33	#	#	#
MAN2B1	4125	182	145	170	33	609458	6	79
NBPF9	400818	54	53	#	33	613999	#	#
NPHS2	7827	106	84	91	33	604766	2	15
ZNF596	169270	75	73	#	33	#	#	#
ACTB	60	117	95	87	32	102630	0	8
APOE	348	45	41	43	32	107741	0	1
CRB1	23418	291	156	281	32	604210	2	38
CYP17A1	1586	67	62	55	32	609300	0	14
DOCK8	81704	467	391	258	32	611432	7	81
DSG2	1829	661	344	634	32	125671	32	162
ELANE	1991	87	80	69	32	130130	0	15
FOXC1	2296	115	108	67	32	601090	2	16
HBA2	3040	156	125	118	32	141850	#	#
INS-IGF2	723961	134	80	5	32	#	#	#
IRF6	3664	228	102	218	32	607199	0	21
KLHL3	26249	138	126	129	32	605775	0	48
LINC01128	643837	57	55	#	32	#	#	#
MED13L	23389	51	48	36	32	608771	0	1
NOTCH1	4851	488	362	395	32	190198	5	79
POMT1	10585	361	228	330	32	607423	25	86
PURA	5813	49	41	41	32	600473	0	1
RAD51D	5892	451	282	450	32	602954	14	135
RAD51L3-RFFL	100529207	445	276	#	32	#	#	#
RPGRIP1L	23322	377	163	366	32	610937	13	72
SERPINA1	5265	223	143	193	32	107400	1	48
SHH	6469	138	112	67	32	600725	2	11
SOX10	6663	108	76	90	32	602229	0	12
TSHR	7253	171	102	151	32	603372	3	21
ZNF469	84627	509	390	473	32	612078	26	182
ASL	435	117	86	104	31	608310	2	18
BBS2	583	129	102	121	31	606151	2	42
HNF1B	6928	176	148	105	31	189907	3	22
HOGA1	112817	101	89	94	31	613597	2	39
IL2RG	3561	150	136	48	31	308380	0	5
IVD	3712	137	106	135	31	607036	4	33
MHRT	104564225	356	172	#	31	616096	#	#
PEX7	5191	136	72	131	31	601757	1	29
PRRT2	112476	281	233	117	31	614386	5	19
SLC4A1	6521	263	116	254	31	109270	3	41
SMAD3	4088	414	239	408	31	603109	8	121
TBC1D24	57465	362	260	344	31	613577	22	115
ABL1	25	85	77	12	30	189980	#	#
ALDOB	229	138	96	111	30	612724	4	20
BCS1L	617	124	79	115	30	603647	4	22
CHRNE	1145	188	141	174	30	100725	7	52
CYP4V2	285440	324	205	224	30	608614	7	61
EP300	2033	333	250	286	30	602700	7	95
FLG	2312	49	38	46	30	135940	2	1
HEXB	3074	111	78	108	30	606873	2	24
LAMC2	3918	166	149	152	30	150292	3	75
NFIX	4784	53	51	38	30	164005	0	2
NRAS	4893	311	102	264	30	164790	3	39
PCNT	5116	714	489	638	30	605925	30	216
POMT2	29954	284	224	272	30	607439	13	113
PROC	5624	83	71	75	30	612283	2	21
SLC12A6	9990	214	177	198	30	604878	3	77
STAT3	6774	119	100	114	30	102582	0	27
ACAT1	38	109	93	102	29	607809	1	40
APOB	338	588	299	579	29	107730	29	174
C9orf3	84909	299	240	#	29	#	#	#
DBT	1629	204	158	199	29	248610	4	82
EMD	2010	277	245	115	29	300384	7	34
ESCO2	157570	158	139	110	29	609353	1	47
FERMT1	55612	159	150	143	29	607900	0	69
MPV17	4358	85	60	78	29	137960	1	16
NF2	4771	205	195	184	29	607379	0	88
PRPH2	5961	471	157	466	29	179605	2	34
SHANK3	85358	120	113	31	29	606230	0	9
SMARCA2	6595	282	254	158	29	600014	1	23
SMARCA4	6597	470	339	454	29	603254	19	113
SMIM11B	102723553	42	36	#	29	#	#	#
ALK	238	311	203	268	28	105590	3	57
DDX3X	1654	144	138	29	28	300160	#	#
DNAH11	8701	735	473	712	28	603339	63	178
FOXP2	93986	168	154	152	28	605317	3	46
GBE1	2632	171	92	155	28	607839	2	20
GLRA1	2741	75	63	60	28	138491	1	8
ITGB2	3689	189	169	123	28	600065	2	49
KRIT1	889	153	92	149	28	604214	0	20
KRT5	3852	224	173	220	28	148040	0	14
LAMA3	3909	228	137	196	28	600805	0	64
LHCGR	3973	149	71	141	28	152790	0	8
MC4R	4160	120	94	72	28	155541	4	12
MLC1	23209	203	171	140	28	605908	1	36
NDP	4693	163	153	39	28	300658	0	4
PRKCG	5582	105	92	59	28	176980	0	16
SLC12A3	6559	163	144	153	28	600968	4	73
SLC16A2	6567	171	148	66	28	300095	2	13
SOX9	6662	122	110	112	28	608160	3	41
STAT1	6772	100	97	87	28	600555	0	18
USP18	11274	74	70	#	28	607057	#	#
ALS2	57679	194	120	167	27	606352	4	36
BSCL2	26580	168	101	163	27	606158	6	35
CACNA1B	774	65	63	1	27	601012	#	#
KDM5C	8242	192	177	70	27	314690	1	19
LOC101926943	101926943	81	69	#	27	#	#	#
MVK	4598	263	166	250	27	251170	5	29
NAGLU	4669	92	77	86	27	609701	1	35
OCA2	4948	361	313	138	27	611409	4	40
PIK3R1	5295	60	43	35	27	171833	0	2
RTEL1	51750	60	50	37	27	608833	0	1
SETX	23064	340	184	309	27	608465	0	59
TGFBR1	7046	517	243	490	27	190181	7	109
ALAS2	212	194	173	86	26	301300	2	11
APOA1	335	64	50	54	26	107680	0	6
BAP1	8314	140	100	134	26	603089	3	25
COL4A3	1285	185	165	172	26	120070	3	68
GCH1	2643	151	91	144	26	600225	0	26
HPS1	3257	168	122	163	26	604982	4	47
NALCN	259232	99	91	47	26	611549	#	#
PC	5091	134	117	128	26	608786	9	34
PROP1	5626	92	77	67	26	601538	0	19
RMRP	6023	83	77	37	26	157660	#	#
RPGRIP1	57096	208	131	183	26	605446	8	42
RTEL1-TNFRSF6B	100533107	57	47	#	26	#	#	#
SDHA	6389	478	277	380	26	600857	11	76
TTPA	7274	94	82	74	26	600415	0	27
TWNK	56652	284	111	275	26	606075	5	35
AMN	81693	57	55	26	25	605799	#	#
AMT	275	66	59	62	25	238310	3	24
BAG3	9531	355	183	341	25	603883	13	69
BCOR	54880	217	196	81	25	300485	1	34
CENPJ	55835	320	170	296	25	609279	10	86
CNTNAP2	26047	779	484	704	25	604569	34	235
GJA1	2697	157	72	149	25	121014	1	17
GPC3	2719	197	179	58	25	300037	2	7
GPHN	10243	79	72	6	25	603930	1	0
HNRNPUL2-BSCL2	100534595	165	98	#	25	#	#	#
KAT6B	23522	169	141	159	25	605880	0	41
KCNQ4	9132	104	83	94	25	603537	0	18
KCNT1	57582	410	298	366	25	608167	20	27
LINC01880	105373979	84	77	#	25	#	#	#
MAPT	4137	347	241	270	25	157140	1	48
MEFV	4210	458	297	437	25	608107	13	83
NR3C2	4306	127	123	109	25	600983	0	33
PNKP	11284	314	210	309	25	605610	24	90
POGZ	23126	39	35	31	25	614787	1	2
PRNP	5621	125	90	103	25	176640	3	15
SF3B4	10262	60	53	55	25	605593	0	9
SGSH	6448	141	108	124	25	605270	2	43
SLC37A4	2542	156	122	142	25	602671	2	36
SMCHD1	23347	263	242	176	25	614982	7	106
SOX2-OT	347689	55	52	#	25	616338	#	#
STON1-GTF2A1L	286749	145	68	#	25	#	#	#
STRC	161497	94	88	82	25	606440	0	22
TH	7054	137	96	117	25	191290	2	26
TREX1	11277	101	55	96	25	606609	2	10
UGT1A1	54658	142	91	116	25	191740	5	26
WDR62	284403	307	201	301	25	613583	23	94
WRN	7486	321	239	255	25	604611	13	90
WT1	7490	469	150	454	25	607102	5	66
ADAMTS13	11093	181	154	152	24	604134	2	36
ADGRG1	9289	120	89	111	24	604110	6	26
ADSL	158	165	122	151	24	608222	8	52
AGPAT2	10555	137	122	96	24	603100	2	40
CD40LG	959	166	159	29	24	300386	1	2
CDKN1C	1028	103	81	87	24	600856	3	7
CTSK	1513	47	42	44	24	601105	1	14
DNM2	1785	299	162	287	24	602378	5	47
EVC2	132884	257	186	207	24	607261	14	61
F7	2155	171	153	96	24	613878	0	35
FOXP1	27086	199	180	184	24	605515	2	83
GATA4	2626	125	113	57	24	600576	3	6
GH1	2688	59	56	52	24	139250	1	14
GNPTG	84572	84	80	58	24	607838	0	25
GRN	2896	159	131	85	24	138945	0	15
GUSB	2990	80	66	67	24	611499	1	18
KRT14	3861	146	113	141	24	148066	#	#
LOC100996415	100996415	69	61	#	24	#	#	#
MMACHC	25974	147	106	137	24	609831	2	52
NTRK1	4914	121	96	117	24	191315	7	29
PEX6	5190	133	103	127	24	601498	3	44
PIEZO2	63895	143	125	74	24	613629	0	3
POLR3A	11128	158	142	151	24	614258	2	82
SHOX	6473	205	184	59	24	312865	0	11
SHOX	6473	205	184	59	24	400020	0	11
SOX2	6657	59	56	35	24	184429	0	4
TMC1	117531	190	129	159	24	606706	2	48
UGT1A	7361	140	89	#	24	#	#	#
UGT1A10	54575	145	94	#	24	606435	#	#
UGT1A3	54659	142	91	#	24	606428	#	#
UGT1A4	54657	143	92	1	24	606429	#	#
UGT1A5	54579	144	93	#	24	606430	#	#
UGT1A6	54578	144	93	#	24	606431	#	#
UGT1A7	54577	144	93	#	24	606432	#	#
UGT1A8	54576	145	94	#	24	606433	#	#
UGT1A9	54600	145	94	3	24	606434	0	2
ZDHHC24	254359	93	74	#	24	#	#	#
ACTC1	70	583	202	573	23	102540	8	116
AIFM1	9131	194	178	64	23	300169	2	7
AIFM1	9131	194	178	64	23	310490	2	7
ANOS1	3730	215	207	31	23	300836	1	1
CAV3	859	410	170	378	23	601253	13	32
CLN6	54982	170	130	161	23	606725	11	53
CYP11B1	1584	220	140	187	23	610613	2	21
DCC	1630	69	66	30	23	120470	0	8
FAS	355	108	73	99	23	134637	2	15
ITPR1	3708	236	219	186	23	147265	1	72
LOC101928174	101928174	578	197	#	23	#	#	#
MCCC1	56922	118	98	93	23	609010	3	27
MEF2C	4208	155	138	135	23	600662	4	56
NOTCH3	4854	196	145	184	23	600276	3	37
